,id
0,Organ12_0048_right
1,Organ12_0019_left
2,Organ12_0022_left
3,Organ12_0023_right
4,Organ12_0043_right
5,Organ12_0007_right
6,Organ12_0024_left
7,Organ12_0028_left
8,Organ12_0047_left
9,Organ12_0020_right
10,Organ12_0032_left
11,Organ12_0040_left
12,Organ12_0049_left
13,Organ12_0016_right
14,Organ12_0019_right
15,Organ12_0033_right
16,Organ12_0005_right
17,Organ12_0011_left
18,Organ12_0008_left
19,Organ12_0004_left
20,Organ12_0025_left
21,Organ12_0011_right
22,Organ12_0038_right
23,Organ12_0027_right
24,Organ12_0024_right
25,Organ12_0001_right
26,Organ12_0014_left
27,Organ12_0033_left
28,Organ12_0001_left
29,Organ12_0013_right
30,Organ12_0036_right
31,Organ12_0036_left
32,Organ12_0034_right
33,Organ12_0028_right
34,Organ12_0035_right
35,Organ12_0006_right
36,Organ12_0032_right
37,Organ12_0040_right
38,Organ12_0041_left
39,Organ12_0025_right
40,Organ12_0029_left
41,Organ12_0021_right
42,Organ12_0020_left
43,Organ12_0017_left
44,Organ12_0044_left
45,Organ12_0042_left
46,Organ12_0010_right
47,Organ12_0007_left
48,Organ12_0029_right
49,Organ12_0014_right
50,Organ12_0041_right
51,Organ12_0015_right
52,Organ12_0035_left
53,Organ12_0039_right
54,Organ12_0017_right
55,Organ12_0002_right
56,Organ12_0026_left
57,Organ12_0018_left
58,Organ12_0045_right
59,Organ12_0045_left
60,Organ12_0034_left
61,Organ12_0046_right
62,Organ12_0003_left
63,Organ12_0044_right
64,Organ12_0030_right
65,Organ12_0006_left
66,Organ12_0038_left
67,Organ12_0039_left
68,Organ12_0009_right
69,Organ12_0004_right
70,Organ12_0016_left
71,Organ12_0026_right
72,Organ12_0013_left
73,Organ12_0018_right
74,Organ12_0005_left
75,Organ12_0012_left
76,Organ12_0009_left
77,Organ12_0027_left
78,Organ12_0050_left
79,Organ12_0002_left
80,Organ12_0043_left
81,Organ12_0046_left
82,Organ12_0042_right
83,Organ12_0008_right
84,Organ12_0031_left
85,Organ12_0047_right
86,Organ12_0012_right
87,Organ12_0037_left
88,Organ12_0037_right
89,Organ12_0030_left
90,Organ12_0015_left
91,Organ12_0048_left
92,Organ12_0010_left
93,Organ12_0023_left
94,Organ12_0031_right
95,Organ12_0021_left
96,Organ12_0003_right
97,Organ12_0022_right
98,Organ12_0049_right
99,Organ12_0050_right
